problem_id,condition,sentence_num,category,valence,which_option,token_start,token_end,n_tokens,cue_p,proj_agency,proj_anxiety,proj_confidence,proj_confusion,proj_curiosity,proj_guilt,proj_obedience,proj_rationalization,proj_deception,proj_concealment
26,B,12,recall,,,243,258,15,0.52,2.3593079725901287,2.2879785696665444,2.878363617261251,-3.077861241499583,6.8548871040344235,4.115402563412984,-0.19277607599894206,4.6592073758443195,11.683462365468342,0.605387536684672
26,B,13,evaluate,mild-,C,258,282,24,0.48,-2.592236960927645,3.2102396935224533,-0.3949077973763148,-2.239729599406322,8.35559231042862,2.7480241854985556,-6.0815452461441355,-3.391171226898829,14.568869868914286,0.704538726558288
26,B,14,evaluate,strong-,C,282,298,16,0.64,-6.622505001723766,3.357850581407547,-2.4395800679922104,-0.030019592493772507,10.693067073822021,5.214538052678108,-3.3397956266999245,-0.4951102137565613,16.339399099349976,0.6091168001294136
26,B,15,evaluate,strong-,C,298,307,9,0.6,-8.475657304128012,0.6189586321512858,-14.973035070631239,7.357779661814372,10.79262638092041,5.113047493828668,4.2851161691877575,-4.910011397467719,15.545397493574354,8.993749062220255
26,B,16,setup,,,307,314,7,0.6,-1.329453434262957,5.619458607264927,-1.6490674700055803,3.9731994356427873,5.106241260256086,10.17222533907209,5.188075201851981,0.6417779922485352,10.897981371198382,2.865147743906294
26,B,17,recall,,,314,325,11,0.32,-2.2965639667077498,5.1909659992564805,2.277413958852941,-1.284846620126204,2.329154036261819,7.857030218297785,-0.5677294622768055,0.41268437558954413,10.568335966630416,2.5985656163909217
26,B,18,evaluate,neutral,D,325,356,31,0.7,-8.562827994746547,3.5618530492628775,-7.541261972919587,-0.3431648189021695,3.0327787976111136,5.295787955484083,-2.8674463149039977,4.303187201100011,8.440884097929924,3.3271618312405002
26,B,19,evaluate,mild+,D,356,377,21,0.74,-6.25209569363367,0.12710596266246976,-7.523031370980399,-0.768794161932809,3.9357373203550066,0.5086446461223421,-0.5790821001643226,3.6400107599440075,4.892177888325283,3.9313594102859497
26,B,20,recall,,,377,417,40,0.78,2.5880405485630034,-2.3797057181596757,-0.17141653150320052,-7.5024364903569225,5.765333688259124,-0.9418744217604399,-0.900385108590126,-3.340620318055153,-0.5373491317033767,-0.4440566495060921
26,B,21,evaluate,mild+,B,417,442,25,0.88,0.15457976818084718,-0.9783568406105041,-3.592447714805603,-4.917226858139038,7.305247898101807,-0.11403379440307618,0.46818339347839355,-3.1977847957611085,2.5031248044967653,2.5585623669624327
26,B,22,evaluate,strong-,C,442,461,19,0.9,-5.00820621691252,1.9898121858897961,-5.352649274625276,1.5797239479265714,10.618894313511095,5.415315759809394,-0.3733379401658711,0.7850649984259355,16.20746860378667,1.512580316317709
26,B,23,commit,,,461,491,30,0.82,3.8014385223388674,-0.6281011760234833,-1.287494436899821,-3.059614133834839,8.38625074227651,1.6501064459482828,1.8966061055660248,-7.280896413326263,2.9473523020744326,0.27545880575974785
26,B,24,evaluate,mild+,B,491,529,38,1.0,-3.4412679201678227,1.2665855523787046,-8.306310302332827,0.5937904417514801,9.783209330157229,4.1800101179825635,1.707598184284411,1.0555281701840853,9.737353676243833,4.434992980015905
26,C,0,setup,,,0,23,23,,5.079882958660955,0.7614134912905486,-0.7196486721868101,2.5692148493683855,8.209889826567277,5.733084621636764,5.714527606964111,-14.11474435225777,5.75488805770874,0.7689655643442402
26,C,1,setup,,,23,55,32,,2.2502314429730177,5.072651322931051,0.6391881927847862,-0.37237912602722645,10.12288860976696,6.527622625231743,1.8381019458174706,-10.22543628141284,11.483315594494343,1.009923480451107
26,C,2,setup,,,56,75,19,,3.1651577384848344,-0.9131481271041068,-4.520523723803069,3.710571897657294,13.083339195502433,4.183949746583638,5.824632029784353,-10.606542010056344,6.354521349856728,0.13860632243909335
26,C,3,recall,,,75,96,21,,0.04604610942658924,-0.5972744886364255,7.230641489937192,-9.891168276468912,6.493264487811497,-3.363734483718872,-3.6395277182261148,-9.490979702699752,7.531725474766323,-3.0257608337061748
26,C,4,evaluate,neutral,A,96,134,38,,-1.297119585307021,4.155708664341977,4.3997166203825095,-4.7277093796353595,7.6965632658255725,5.347267276362369,-1.870625376701355,-2.7478648377092263,10.098768547961587,2.447848927033575
26,C,5,evaluate,mild-,A,134,156,22,,-3.659075764092532,3.915344709699804,-4.2070183753967285,-4.946197601881894,11.969119158658115,4.84535199674693,-3.588062421842055,-11.518518247387625,10.17757534980774,2.264720865271308
26,C,6,uncertainty,,,156,170,14,,-10.475452610424586,3.1588687215532576,-19.964256967817033,7.5723293508802145,12.597713572638375,7.144699130739484,6.868762561253139,-5.279676505497524,5.534386992454529,11.60700798034668
26,C,7,evaluate,neutral,B,170,198,28,,3.52415192765849,3.855028028999056,0.5128845806632724,-6.160027217652116,6.879800051450729,6.8878618861947745,1.6610962024756841,-7.053157350846699,6.845910540648869,-0.795935224209513
26,C,8,evaluate,mild-,B,198,222,24,,-5.875670750935872,5.560667442778747,-4.752485657731692,-4.958985194563866,4.6903402308623,7.185182591279347,-2.4661867866913476,-4.135937387744586,9.218503932158152,1.751983640094598
26,C,9,evaluate,mild-,B,222,229,7,,-7.752343109675816,3.6176174027579173,-13.72217777797154,3.7797496148518155,10.73316924912589,7.2839155197143555,5.257962601525443,-7.383345467703683,13.886018071855817,9.144477094922747
26,C,10,recall,,,229,252,23,,3.3281874138375986,3.2782944363096487,1.8412364954533784,-1.2781693132027336,8.81550996199898,6.346567280914472,1.7568778991699219,-0.6196319642274276,13.538794911426047,0.8383270502090454
26,C,11,evaluate,mild-,C,252,277,25,,-1.7078405046463012,4.762409381866455,2.2364120864868164,-2.0437336993217468,9.69133731842041,5.404640989303589,-3.242866024971008,-2.3103321743011476,16.304381256103515,-0.21265989661216736
26,C,12,evaluate,strong-,C,277,297,20,,-5.391197580099106,1.4261696100234986,-5.3843384146690365,2.886367177963257,9.802942943572997,5.803755509853363,0.23223477602005005,-4.329010796546936,15.623399543762208,2.807306560873985
26,C,13,recall,,,297,316,19,,-3.0397843969495675,6.672204469379626,1.9255366827312268,2.9577544237438,3.241445735881203,9.285376624057168,3.2768424059215344,3.2603351944371273,11.468064734810277,3.00453129567598
26,C,14,evaluate,strong+,D,316,346,30,,-4.271398337682088,1.7589002887407938,-3.2337265690167745,-2.4350150843461353,2.8772775133450827,4.431841564178467,-1.6476078093051911,0.456109356880188,4.747200465202331,3.0201808134714763
26,C,15,evaluate,strong+,D,346,365,19,,-2.3847976107346383,-2.1368705159739445,-3.3313676260019602,-0.47437460171548945,7.215451391119706,-1.0207796190914356,1.2481709655962492,2.6176859014912655,11.4597386560942,0.9247918254450748
26,C,16,commit,,,365,399,34,,1.6975050358211292,-2.249537120847141,2.0380726868615433,1.2136425656430863,7.409015936010024,0.7350122275597909,4.008431890431573,-1.5176527798175812,9.867765878929811,0.22998943486634424
26,C,17,compare,,,399,413,14,,-6.282159175191607,1.3553736976214819,-9.383240972246442,3.987777511988367,10.91484638622829,6.5948295167514255,1.623340334211077,-2.3299374324934825,13.734391689300537,3.3614043423107693
804,B,0,setup,,,0,28,28,0.62,6.537014803716114,2.3255022295883725,4.616135610001428,0.4929955175944737,6.926655177559171,5.26477919944695,4.729640994753156,-14.38107041801725,5.959454894065857,-0.8797887414693832
804,B,1,setup,,,28,40,12,0.54,6.076565732558568,2.502137243747711,2.1524930745363235,1.1486534774303436,5.792670438687007,5.722893446683884,5.592706739902496,-14.132270733515421,1.8798250953356426,-0.48481518651048344
804,B,2,setup,,,40,46,6,0.48,5.111440022786458,-3.6440881292025247,-4.3801246881484985,4.156356851259868,5.331093102693558,4.624978681405385,7.556439995765686,-11.057709693908691,-1.2400863965352376,-3.143930951754252
804,B,3,recall,,,46,73,27,0.74,5.30428593467783,2.3375752987685026,11.668523249802766,-5.919661959012349,7.874735997782813,1.918353513435081,0.34660295645395917,-8.904909637239244,8.42112057297318,-3.1669511088618525
